region,periodo,tasa_victimizacion,tasa_homicidios,percepcion_inseguridad,denuncias,poblacion,fuente
Amazonas,2018-S1,25.4,3.6,69.7,41706,2165945,MUESTRA SINTÉTICA (no es dato real)
Áncash,2018-S1,30.3,5.7,75.1,95480,2822473,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2018-S1,28.5,3.9,77.5,120079,7469355,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2018-S1,34.8,5.9,95.0,119483,3740387,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2018-S1,19.6,3.3,50.1,35031,1671957,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2018-S1,29.9,5.5,80.5,173353,6129551,MUESTRA SINTÉTICA (no es dato real)
Callao,2018-S1,29.0,4.9,76.1,57840,2547726,MUESTRA SINTÉTICA (no es dato real)
Cusco,2018-S1,31.3,6.1,78.5,150913,6783298,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2018-S1,25.9,4.0,63.8,255035,8481728,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2018-S1,23.1,3.6,57.1,55402,2086142,MUESTRA SINTÉTICA (no es dato real)
Ica,2018-S1,20.5,3.6,58.4,119717,6487402,MUESTRA SINTÉTICA (no es dato real)
Junín,2018-S1,30.1,4.7,75.8,19198,572961,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2018-S1,32.1,5.1,82.1,125554,7562984,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2018-S1,21.6,3.8,53.2,201042,9678052,MUESTRA SINTÉTICA (no es dato real)
Lima,2018-S1,28.8,4.9,81.6,93859,3573264,MUESTRA SINTÉTICA (no es dato real)
Loreto,2018-S1,25.1,4.5,66.8,219718,7699424,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2018-S1,32.8,4.6,78.7,265004,7579179,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2018-S1,29.1,4.2,81.6,9281,339857,MUESTRA SINTÉTICA (no es dato real)
Pasco,2018-S1,25.2,4.1,69.6,38930,2418950,MUESTRA SINTÉTICA (no es dato real)
Piura,2018-S1,28.4,5.3,73.2,243276,9491615,MUESTRA SINTÉTICA (no es dato real)
Puno,2018-S1,20.2,3.4,58.1,109184,4555886,MUESTRA SINTÉTICA (no es dato real)
San Martín,2018-S1,18.5,3.0,52.7,125436,7479120,MUESTRA SINTÉTICA (no es dato real)
Tacna,2018-S1,25.1,4.2,65.4,127161,9243043,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2018-S1,17.8,2.9,51.0,50251,2659792,MUESTRA SINTÉTICA (no es dato real)
